feature1,feature2,feature3,feature4,score1,score2
89.19999999999999,4.600000000000003,4.200000000000003,0.5,90.3685485467404,11.946002740284163
89.1,4.600000000000003,4.200000000000003,0.6,91.07844146478584,11.784500014555105
89.3,4.400000000000002,4.3000000000000025,0.5,88.95563383833088,12.261217862183713
89.2,4.500000000000003,4.3000000000000025,0.5,89.86788722692297,12.053222975479393
89.10000000000001,4.500000000000003,4.3000000000000025,0.6,90.63201321489807,11.87861634324429
89.1,4.600000000000003,4.3000000000000025,0.5,90.7524084181584,11.8532681687792
89.19999999999999,4.400000000000002,4.400000000000002,0.5,89.32841722327515,12.158161843516972
89.1,4.400000000000002,4.400000000000002,0.6,90.13866800408078,11.969480723879482
89.1,4.500000000000003,4.400000000000002,0.5,90.23663113225214,11.958413074658358
89.0,4.500000000000003,4.400000000000002,0.6,91.05152601438046,11.812457519340503
89.1,4.400000000000002,4.500000000000003,0.5,89.68315818295876,12.06148044093347
89.0,4.400000000000002,4.500000000000003,0.6,90.53963925937161,11.901028905061684
88.9,4.500000000000003,4.500000000000003,0.6,91.45030305766333,11.752449137495397
89.0,4.3000000000000025,4.600000000000003,0.6,89.98684616626294,11.986645392394236
88.99999999999999,4.400000000000002,4.600000000000003,0.5,90.01892139426566,11.971403671037537
88.89999999999999,4.400000000000002,4.600000000000003,0.6,90.91962616217336,11.838715983586656
88.8,4.500000000000003,4.600000000000003,0.6,91.8269929320832,11.698593743033197
88.8,4.400000000000002,4.700000000000003,0.6,91.27732956736985,11.782533841758482
88.80000000000001,4.3000000000000025,4.8000000000000025,0.6,90.68848690326205,11.863776214031642
88.7,4.400000000000002,4.8000000000000025,0.6,91.61146208177036,11.732412873173445
88.6,4.400000000000002,4.900000000000003,0.6,91.92076704613467,11.688229428581408
88.60000000000001,4.3000000000000025,5.000000000000004,0.6,91.29568800802551,11.765092290749108
88.29999999999998,4.400000000000002,5.100000000000003,0.7000000000000001,92.32140850410406,11.624829910296771
88.2,4.3000000000000025,5.300000000000003,0.7000000000000001,91.9381182718156,11.676170162585159
88.1,4.3000000000000025,5.400000000000004,0.7000000000000001,92.13786049299021,11.671130320808844
87.0,5.500000000000004,5.400000000000004,0.6,99.9284026158541,10.984055607863697
88.0,4.3000000000000025,5.500000000000004,0.7000000000000001,92.30635257761202,11.669557780727587
87.89999999999999,4.400000000000002,5.500000000000004,0.7000000000000001,93.13941535566426,11.62144405820951
87.8,4.500000000000003,5.500000000000004,0.7000000000000001,93.94485527995938,11.579938176296354
87.69999999999999,4.600000000000003,5.500000000000004,0.7000000000000001,94.71888127938007,11.54456903695687
87.6,4.700000000000003,5.500000000000004,0.7000000000000001,95.45762197632322,11.514741171497322
87.5,4.8000000000000025,5.500000000000004,0.7000000000000001,96.15717278160554,11.489745605737042
87.39999999999999,4.900000000000003,5.500000000000004,0.7000000000000001,96.81365991815386,11.46877946126304
87.3,5.000000000000004,5.500000000000004,0.7000000000000001,97.42332206510088,11.450975796149848
87.19999999999999,5.100000000000003,5.500000000000004,0.7000000000000001,97.9826077951286,11.435444128673979
87.1,5.200000000000003,5.500000000000004,0.7000000000000001,98.48828364149037,11.421320238356387
87.0,5.300000000000003,5.500000000000004,0.7000000000000001,98.93754407422243,11.407821369912934
86.89999999999999,5.400000000000004,5.500000000000004,0.7000000000000001,99.32811189414342,11.39430047482928
86.9,5.500000000000004,5.500000000000004,0.6,99.91386382683181,11.029765687291624
86.8,5.500000000000004,5.500000000000004,0.7000000000000001,99.65831671363449,11.380291577493226
